filter,Date,project,key,issuetype,status,customfield_58100,customfield_60501
preALP,2021-01-01,ResponseTek,RESPTK-33546,Defect,Release pending,10.0,"RESPTK-21347,RESPTK-21348,RESPTK-21351,RESPTK-24897,RESPTK-24899,RESPTK-30226,RESPTK-30548,RESPTK-31581,RESPTK-32209,RESPTK-33207"
preALP,2021-01-01,ResponseTek,RESPTK-29553,Customer Defect,Release pending,0.0,
preALP,2021-01-01,ResponseTek,RESPTK-20692,Customer Defect,Release pending,0.0,
preALP,2021-01-01,QuickSilver,QS-821,Customer Defect,Release pending,0.0,
preALP,2021-01-01,QuickSilver,QS-659,Customer Defect,In Code Review,,
preALP,2021-01-01,QuickSilver,QS-449,Customer Defect,Release pending,0.0,
preALP,2021-01-01,Pivotal,PIVOTAL-30715,Defect,Release pending,20.0,"PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,2021-01-01,Pivotal,PIVOTAL-30524,Customer Defect,Release pending,20.0,"PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
preALP,2021-01-01,Pivotal,PIVOTAL-30260,Customer Defect,Release pending,2.0,"PIVOTAL-29235,PIVOTAL-30227"
preALP,2021-01-01,Pivotal,PIVOTAL-28739,Customer Defect,Release pending,21.0,"PIVOTAL-19662,PIVOTAL-29235,PIVOTAL-30219,PIVOTAL-30220,PIVOTAL-30221,PIVOTAL-30222,PIVOTAL-30223,PIVOTAL-30224,PIVOTAL-30225,PIVOTAL-30226,PIVOTAL-30228,PIVOTAL-30229,PIVOTAL-30230,PIVOTAL-30231,PIVOTAL-30232,PIVOTAL-30233,PIVOTAL-30234,PIVOTAL-30236,PIVOTAL-30237,PIVOTAL-30721,PIVOTAL-30722"
